Comunidades y Ciudades Autónomas	Actividad principal	Estrato de asalariados	Periodo	Total
09 Cataluña	553 Campings y aparcamientos para caravanas	Total	2019	305
09 Cataluña	36 Captación, depuración y distribución de agua	Total	2019	249
09 Cataluña	360 Captación, depuración y distribución de agua	Total	2019	249
09 Cataluña	464 Comercio al por mayor de artículos de uso doméstico	Total	2019	8.982
09 Cataluña	465 Comercio al por mayor de equipos para las tecnologías de la información y las comunicaciones	Total	2019	839
09 Cataluña	462 Comercio al por mayor de materias primas agrarias y de animales vivos	Total	2019	1.221
09 Cataluña	466 Comercio al por mayor de otra maquinaria, equipos y suministros	Total	2019	4.139
09 Cataluña	463 Comercio al por mayor de productos alimenticios, bebidas y tabaco	Total	2019	6.156
09 Cataluña	46 Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas	Total	2019	43.111
09 Cataluña	469 Comercio al por mayor no especializado	Total	2019	1.780
09 Cataluña	476 Comercio al por menor de artículos culturales y recreativos en establecimientos especializados	Total	2019	3.968
09 Cataluña	473 Comercio al por menor de combustible para la automoción en establecimientos especializados	Total	2019	611
09 Cataluña	474 Comercio al por menor de equipos para las tecnologías de la información y las comunicaciones en establecimientos especializados	Total	2019	1.459
09 Cataluña	475 Comercio al por menor de otros artículos de uso doméstico en establecimientos especializados	Total	2019	10.592
09 Cataluña	477 Comercio al por menor de otros artículos en establecimientos especializados	Total	2019	22.576
09 Cataluña	472 Comercio al por menor de productos alimenticios, bebidas y tabaco en establecimientos especializados	Total	2019	16.402
09 Cataluña	471 Comercio al por menor en establecimientos no especializados	Total	2019	5.693
09 Cataluña	478 Comercio al por menor en puestos de venta y en mercadillos	Total	2019	7.034
09 Cataluña	479 Comercio al por menor no realizado ni en establecimientos, ni en puestos de venta ni en mercadillos	Total	2019	1.702
09 Cataluña	47 Comercio al por menor, excepto de vehículos de motor y motocicletas	Total	2019	70.037
09 Cataluña	453 Comercio de repuestos y accesorios de vehículos de motor	Total	2019	1.258
09 Cataluña	681 Compraventa de bienes inmobiliarios por cuenta propia	Total	2019	227
09 Cataluña	14 Confección de prendas de vestir	Total	2019	2.406
09 Cataluña	143 Confección de prendas de vestir de punto	Total	2019	225
09 Cataluña	141 Confección de prendas de vestir, excepto de peletería	Total	2019	2.146
09 Cataluña	303 Construcción aeronáutica y espacial y su maquinaria	Total	2019	6
09 Cataluña	421 Construcción de carreteras y vías férreas, puentes y túneles	Total	2019	131
09 Cataluña	41 Construcción de edificios	Total	2019	41.533
09 Cataluña	412 Construcción de edificios	Total	2019	28.012
09 Cataluña	429 Construcción de otros proyectos de ingeniería civil	Total	2019	1.304
09 Cataluña	422 Construcción de redes	Total	2019	139
09 Cataluña	301 Construcción naval	Total	2019	74
09 Cataluña	191 Coquerías	Total	2019	0
09 Cataluña	19 Coquerías y refino de petróleo	Total	2019	1
09 Cataluña	237 Corte, tallado y acabado de la piedra	Total	2019	346
09 Cataluña	431 Demolición y preparación de terrenos	Total	2019	1.423
09 Cataluña	521 Depósito y almacenamiento	Total	2019	429
09 Cataluña	58 Edición	Total	2019	2.269
09 Cataluña	581 Edición de libros, periódicos y otras actividades editoriales	Total	2019	1.630
09 Cataluña	582 Edición de programas informáticos	Total	2019	639
09 Cataluña	85 Educación	Total	2019	18.536
09 Cataluña	854 Educación postsecundaria	Total	2019	1.249
09 Cataluña	851 Educación preprimaria	Total	2019	670
09 Cataluña	852 Educación primaria	Total	2019	381
09 Cataluña	853 Educación secundaria	Total	2019	2.421
09 Cataluña	712 Ensayos y análisis técnicos	Total	2019	3.237
09 Cataluña	563 Establecimientos de bebidas	Total	2019	23.322
09 Cataluña	732 Estudios de mercado y realización de encuestas de opinión pública	Total	2019	806
09 Cataluña	051 Extracción de antracita y hulla	Total	2019	7
09 Cataluña	05 Extracción de antracita, hulla y lignito	Total	2019	7
09 Cataluña	061 Extracción de crudo de petróleo	Total	2019	0
09 Cataluña	06 Extracción de crudo de petróleo y gas natural	Total	2019	0
09 Cataluña	062 Extracción de gas natural	Total	2019	0
09 Cataluña	052 Extracción de lignito	Total	2019	0
09 Cataluña	071 Extracción de minerales de hierro	Total	2019	1
09 Cataluña	07 Extracción de minerales metálicos	Total	2019	2
09 Cataluña	072 Extracción de minerales metálicos no férreos	Total	2019	1
09 Cataluña	081 Extracción de piedra, arena y arcilla	Total	2019	141
09 Cataluña	104 Fabricación de aceites y grasas vegetales y animales	Total	2019	191
09 Cataluña	275 Fabricación de aparatos domésticos	Total	2019	52
09 Cataluña	254 Fabricación de armas y municiones	Total	2019	4
09 Cataluña	257 Fabricación de artículos de cuchillería y cubertería, herramientas y ferretería	Total	2019	710
09 Cataluña	323 Fabricación de artículos de deporte	Total	2019	54
09 Cataluña	321 Fabricación de artículos de joyería, bisutería y similares	Total	2019	546
09 Cataluña	172 Fabricación de artículos de papel y de cartón	Total	2019	407
09 Cataluña	142 Fabricación de artículos de peletería	Total	2019	35
09 Cataluña	11 Fabricación de bebidas	Total	2019	775
09 Cataluña	110 Fabricación de bebidas	Total	2019	775
09 Cataluña	273 Fabricación de cables y dispositivos de cableado	Total	2019	56
09 Cataluña	152 Fabricación de calzado	Total	2019	44
09 Cataluña	292 Fabricación de carrocerías para vehículos de motor; fabricación de remolques y semirremolques	Total	2019	104
09 Cataluña	235 Fabricación de cemento, cal y yeso	Total	2019	22
09 Cataluña	252 Fabricación de cisternas, grandes depósitos y contenedores de metal	Total	2019	178
09 Cataluña	261 Fabricación de componentes electrónicos y circuitos impresos ensamblados	Total	2019	221
09 Cataluña	293 Fabricación de componentes, piezas y accesorios para vehículos de motor	Total	2019	228
09 Cataluña	236 Fabricación de elementos de hormigón, cemento y yeso	Total	2019	181
09 Cataluña	251 Fabricación de elementos metálicos para la construcción	Total	2019	2.740
09 Cataluña	266 Fabricación de equipos de radiación, electromédicos y electroterapéuticos	Total	2019	55
09 Cataluña	263 Fabricación de equipos de telecomunicaciones	Total	2019	33
09 Cataluña	212 Fabricación de especialidades farmacéuticas	Total	2019	87
09 Cataluña	206 Fabricación de fibras artificiales y sintéticas	Total	2019	8
09 Cataluña	253 Fabricación de generadores de vapor, excepto calderas de calefacción central	Total	2019	10
09 Cataluña	267 Fabricación de instrumentos de óptica y equipo fotográfico	Total	2019	23
09 Cataluña	322 Fabricación de instrumentos musicales	Total	2019	48
09 Cataluña	265 Fabricación de instrumentos y aparatos de medida, verificación y navegación; fabricación de relojes	Total	2019	229
09 Cataluña	325 Fabricación de instrumentos y suministros médicos y odontológicos	Total	2019	871
09 Cataluña	204 Fabricación de jabones, detergentes y otros artículos de limpieza y abrillantamiento; fabricación de perfumes y cosméticos	Total	2019	311
09 Cataluña	324 Fabricación de juegos y juguetes	Total	2019	80
09 Cataluña	274 Fabricación de lámparas y aparatos eléctricos de iluminación	Total	2019	130
09 Cataluña	302 Fabricación de locomotoras y material ferroviario	Total	2019	13
09 Cataluña	283 Fabricación de maquinaria agraria y forestal	Total	2019	112
09 Cataluña	281 Fabricación de maquinaria de uso general	Total	2019	168
09 Cataluña	28 Fabricación de maquinaria y equipo n.c.o.p.	Total	2019	1.687
09 Cataluña	284 Fabricación de máquinas herramienta para trabajar el metal y otras máquinas herramienta	Total	2019	131
09 Cataluña	309 Fabricación de material de transporte n.c.o.p.	Total	2019	84
09 Cataluña	27 Fabricación de material y equipo eléctrico	Total	2019	554
09 Cataluña	271 Fabricación de motores, generadores y transformadores eléctricos, y de aparatos de distribución y control eléctrico	Total	2019	216
09 Cataluña	31 Fabricación de muebles	Total	2019	1.694
09 Cataluña	310 Fabricación de muebles	Total	2019	1.694
09 Cataluña	262 Fabricación de ordenadores y equipos periféricos	Total	2019	157
09 Cataluña	282 Fabricación de otra maquinaria de uso general	Total	2019	560
09 Cataluña	289 Fabricación de otra maquinaria para usos específicos	Total	2019	716
09 Cataluña	30 Fabricación de otro material de transporte	Total	2019	177
09 Cataluña	279 Fabricación de otro material y equipo eléctrico	Total	2019	95
09 Cataluña	108 Fabricación de otros productos alimenticios	Total	2019	651
09 Cataluña	234 Fabricación de otros productos cerámicos	Total	2019	117
09 Cataluña	243 Fabricación de otros productos de primera transformación del acero	Total	2019	54
09 Cataluña	259 Fabricación de otros productos metálicos	Total	2019	879
09 Cataluña	23 Fabricación de otros productos minerales no metálicos	Total	2019	983
09 Cataluña	205 Fabricación de otros productos químicos	Total	2019	207
09 Cataluña	139 Fabricación de otros productos textiles	Total	2019	1.105
09 Cataluña	171 Fabricación de pasta papelera, papel y cartón	Total	2019	55
09 Cataluña	202 Fabricación de pesticidas y otros productos agroquímicos	Total	2019	16
09 Cataluña	272 Fabricación de pilas y acumuladores eléctricos	Total	2019	5
09 Cataluña	203 Fabricación de pinturas, barnices y revestimientos similares; tintas de imprenta y masillas	Total	2019	90
09 Cataluña	239 Fabricación de productos abrasivos y productos minerales no metálicos n.c.o.p.	Total	2019	43
09 Cataluña	241 Fabricación de productos básicos de hierro, acero y ferroaleaciones	Total	2019	58
09 Cataluña	233 Fabricación de productos cerámicos para la construcción	Total	2019	55
09 Cataluña	232 Fabricación de productos cerámicos refractarios	Total	2019	14
09 Cataluña	221 Fabricación de productos de caucho	Total	2019	131
09 Cataluña	22 Fabricación de productos de caucho y plásticos	Total	2019	1.138
09 Cataluña	162 Fabricación de productos de madera, corcho, cestería y espartería	Total	2019	1.690
09 Cataluña	106 Fabricación de productos de molinería, almidones y productos amiláceos	Total	2019	61
09 Cataluña	107 Fabricación de productos de panadería y pastas alimenticias	Total	2019	1.054
09 Cataluña	222 Fabricación de productos de plástico	Total	2019	1.007
09 Cataluña	264 Fabricación de productos electrónicos de consumo	Total	2019	29
09 Cataluña	21 Fabricación de productos farmacéuticos	Total	2019	129
09 Cataluña	211 Fabricación de productos farmacéuticos de base	Total	2019	42
09 Cataluña	26 Fabricación de productos informáticos, electrónicos y ópticos	Total	2019	748
09 Cataluña	105 Fabricación de productos lácteos	Total	2019	179
09 Cataluña	25 Fabricación de productos metálicos, excepto maquinaria y equipo	Total	2019	6.638
09 Cataluña	109 Fabricación de productos para la alimentación animal	Total	2019	146
09 Cataluña	201 Fabricación de productos químicos básicos, compuestos nitrogenados, fertilizantes, plásticos y caucho sintético en formas primarias	Total	2019	270
09 Cataluña	268 Fabricación de soportes magnéticos y ópticos	Total	2019	1
09 Cataluña	132 Fabricación de tejidos textiles 	Total	2019	178
09 Cataluña	242 Fabricación de tubos, tuberías, perfiles huecos y sus accesorios, de acero	Total	2019	30
09 Cataluña	291 Fabricación de vehículos de motor	Total	2019	40
09 Cataluña	29 Fabricación de vehículos de motor, remolques y semirremolques	Total	2019	372
09 Cataluña	304 Fabricación de vehículos militares de combate	Total	2019	0
09 Cataluña	231 Fabricación de vidrio y productos de vidrio	Total	2019	205
09 Cataluña	653 Fondos de pensiones	Total	2019	1
09 Cataluña	255 Forja, estampación y embutición de metales; metalurgia de polvos	Total	2019	360
09 Cataluña	245 Fundición de metales	Total	2019	96
09 Cataluña	551 Hoteles y alojamientos similares	Total	2019	1.984
09 Cataluña	10 Industria de la alimentación	Total	2019	3.041
09 Cataluña	16 Industria de la madera y del corcho, excepto muebles; cestería y espartería	Total	2019	1.804
09 Cataluña	15 Industria del cuero y del calzado	Total	2019	219
09 Cataluña	17 Industria del papel	Total	2019	462
09 Cataluña	12 Industria del tabaco	Total	2019	1
09 Cataluña	120 Industria del tabaco	Total	2019	1
09 Cataluña	20 Industria química	Total	2019	902
09 Cataluña	13 Industria textil	Total	2019	1.763
09 Cataluña	089 Industrias extractivas n.c.o.p.	Total	2019	16
09 Cataluña	329 Industrias manufactureras n.c.o.p.	Total	2019	420
09 Cataluña	42 Ingeniería civil	Total	2019	1.574
09 Cataluña	332 Instalación de máquinas y equipos industriales	Total	2019	194
09 Cataluña	432 Instalaciones eléctricas, de fontanería y otras instalaciones en obras de construcción	Total	2019	15.614
09 Cataluña	641 Intermediación monetaria	Total	2019	18
09 Cataluña	461 Intermediarios del comercio	Total	2019	14.599
09 Cataluña	643 Inversión colectiva, fondos y entidades financieras similares	Total	2019	35
09 Cataluña	72 Investigación y desarrollo	Total	2019	1.816
09 Cataluña	721 Investigación y desarrollo experimental en ciencias naturales y técnicas	Total	2019	1.085
09 Cataluña	722 Investigación y desarrollo experimental en ciencias sociales y humanidades	Total	2019	731
09 Cataluña	452 Mantenimiento y reparación de vehículos de motor	Total	2019	6.484
09 Cataluña	24 Metalurgia; fabricación de productos de hierro, acero y ferroaleaciones	Total	2019	296
09 Cataluña	823 Organización de convenciones y ferias de muestras	Total	2019	1.515
09 Cataluña	855 Otra educación	Total	2019	13.669
09 Cataluña	783 Otra provisión de recursos humanos	Total	2019	377
09 Cataluña	949 Otras actividades asociativas	Total	2019	8.130
09 Cataluña	879 Otras actividades de asistencia en establecimientos residenciales	Total	2019	58
09 Cataluña	439 Otras actividades de construcción especializada	Total	2019	2.283
09 Cataluña	619 Otras actividades de telecomunicaciones	Total	2019	642
09 Cataluña	532 Otras actividades postales y de correos	Total	2019	3.560
09 Cataluña	74 Otras actividades profesionales, científicas y técnicas	Total	2019	15.794
09 Cataluña	749 Otras actividades profesionales, científicas y técnicas n.c.o.p.	Total	2019	9.896
09 Cataluña	869 Otras actividades sanitarias	Total	2019	15.341
09 Cataluña	08 Otras industrias extractivas	Total	2019	157
09 Cataluña	32 Otras industrias manufactureras	Total	2019	2.019
09 Cataluña	467 Otro comercio al por mayor especializado	Total	2019	5.395
09 Cataluña	493 Otro transporte terrestre de pasajeros	Total	2019	11.613
09 Cataluña	889 Otros actividades de servicios sociales sin alojamiento	Total	2019	472
09 Cataluña	559 Otros alojamientos	Total	2019	90
09 Cataluña	639 Otros servicios de información	Total	2019	178
